"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"May 2021","6","17.25 mi","2.87 mi","3.14 mi","2:19:51 h:m:s","23:18 h:m:s","31:23 h:m:s","1,501 C","548 ft","91 ft","186 ft","7.4 mph","8:06 min/mi","155 bpm","174 spm","--"
"Apr 2021","15","40.20 mi","2.68 mi","10.09 mi","8:48:59 h:m:s","35:16 h:m:s","1:40:36 h:m:s","4,234 C","1,745 ft","159 ft","545 ft","4.6 mph","13:10 min/mi","137 bpm","147 spm","--"
"Mar 2021","13","42.31 mi","3.25 mi","5.01 mi","5:38:56 h:m:s","26:04 h:m:s","48:27 h:m:s","3,600 C","1,510 ft","116 ft","188 ft","7.5 mph","8:01 min/mi","153 bpm","172 spm","--"
"Feb 2021","11","46.16 mi","4.20 mi","8.87 mi","5:48:50 h:m:s","31:43 h:m:s","57:54 h:m:s","3,395 C","1,368 ft","124 ft","256 ft","7.9 mph","7:33 min/mi","152 bpm","175 spm","--"
"Jan 2021","11","30.04 mi","2.73 mi","5.01 mi","4:11:50 h:m:s","22:54 h:m:s","37:44 h:m:s","2,567 C","988 ft","90 ft","184 ft","7.2 mph","8:23 min/mi","152 bpm","170 spm","--"
"Dec 2020","12","38.26 mi","3.19 mi","5.01 mi","5:16:55 h:m:s","26:25 h:m:s","40:21 h:m:s","3,450 C","1,188 ft","99 ft","194 ft","7.2 mph","8:17 min/mi","157 bpm","171 spm","--"
"Nov 2020","16","46.94 mi","2.93 mi","6.01 mi","6:23:13 h:m:s","23:57 h:m:s","57:06 h:m:s","4,174 C","1,115 ft","70 ft","144 ft","7.3 mph","8:10 min/mi","153 bpm","173 spm","--"
"Oct 2020","20","75.55 mi","3.78 mi","11.50 mi","9:17:22 h:m:s","27:52 h:m:s","1:05:21 h:m:s","4,746 C","1,306 ft","65 ft","157 ft","8.1 mph","7:23 min/mi","143 bpm","167 spm","--"
"Sep 2020","16","47.69 mi","2.98 mi","5.08 mi","6:25:53 h:m:s","24:07 h:m:s","51:28 h:m:s","4,121 C","1,017 ft","64 ft","200 ft","7.4 mph","8:06 min/mi","152 bpm","173 spm","--"
"Aug 2020","19","45.09 mi","2.37 mi","5.01 mi","6:49:13 h:m:s","21:32 h:m:s","1:03:38 h:m:s","3,890 C","1,284 ft","68 ft","253 ft","6.6 mph","9:05 min/mi","149 bpm","166 spm","--"
"Jul 2020","18","56.97 mi","3.16 mi","6.01 mi","16:34:37 h:m:s","55:15 h:m:s","4:50:55 h:m:s","5,761 C","10,190 ft","566 ft","3,855 ft","3.4 mph","17:28 min/mi","137 bpm","141 spm","--"
"Jun 2020","15","40.34 mi","2.69 mi","5.01 mi","5:12:04 h:m:s","20:48 h:m:s","38:11 h:m:s","3,437 C","1,020 ft","68 ft","230 ft","7.8 mph","7:44 min/mi","156 bpm","173 spm","--"
"May 2020","21","57.23 mi","2.73 mi","5.01 mi","7:20:05 h:m:s","20:57 h:m:s","37:52 h:m:s","4,832 C","1,184 ft","56 ft","177 ft","7.8 mph","7:41 min/mi","157 bpm","173 spm","--"
"Apr 2020","12","37.25 mi","3.10 mi","5.01 mi","4:44:03 h:m:s","23:40 h:m:s","38:57 h:m:s","3,252 C","886 ft","74 ft","144 ft","7.9 mph","7:38 min/mi","161 bpm","172 spm","--"
"Mar 2020","12","39.26 mi","3.27 mi","9.84 mi","5:25:26 h:m:s","27:07 h:m:s","1:03:29 h:m:s","2,834 C","2,290 ft","191 ft","610 ft","7.2 mph","8:17 min/mi","145 bpm","164 spm","--"
"Feb 2020","8","30.16 mi","3.77 mi","6.01 mi","3:53:17 h:m:s","29:10 h:m:s","46:28 h:m:s","2,507 C","1,611 ft","201 ft","427 ft","7.8 mph","7:44 min/mi","155 bpm","173 spm","--"
"Jan 2020","10","36.51 mi","3.65 mi","6.01 mi","6:17:50 h:m:s","37:47 h:m:s","1:47:08 h:m:s","2,953 C","2,457 ft","246 ft","571 ft","5.8 mph","10:21 min/mi","143 bpm","158 spm","--"
"Dec 2019","13","29.77 mi","2.29 mi","6.01 mi","4:29:17 h:m:s","20:43 h:m:s","46:31 h:m:s","2,473 C","1,542 ft","119 ft","400 ft","6.6 mph","9:03 min/mi","139 bpm","156 spm","--"
"Nov 2019","11","40.01 mi","3.64 mi","6.01 mi","6:03:59 h:m:s","33:05 h:m:s","1:16:53 h:m:s","3,309 C","2,293 ft","208 ft","407 ft","6.6 mph","9:06 min/mi","146 bpm","164 spm","--"
"Oct 2019","14","38.72 mi","2.77 mi","6.01 mi","6:40:12 h:m:s","28:35 h:m:s","1:39:50 h:m:s","3,380 C","1,545 ft","110 ft","397 ft","5.8 mph","10:20 min/mi","149 bpm","164 spm","--"
"Sep 2019","15","60.20 mi","4.01 mi","6.01 mi","8:51:15 h:m:s","35:25 h:m:s","53:26 h:m:s","5,785 C","4,101 ft","273 ft","410 ft","6.8 mph","8:50 min/mi","157 bpm","169 spm","--"
"Aug 2019","19","51.35 mi","2.70 mi","7.29 mi","12:07:16 h:m:s","38:17 h:m:s","2:35:11 h:m:s","4,448 C","4,423 ft","233 ft","689 ft","4.2 mph","14:10 min/mi","129 bpm","142 spm","--"
"Jul 2019","14","34.16 mi","2.44 mi","4.78 mi","7:28:28 h:m:s","32:02 h:m:s","1:51:11 h:m:s","2,943 C","1,043 ft","80 ft","486 ft","4.6 mph","13:08 min/mi","135 bpm","154 spm","--"
"Jun 2019","20","69.26 mi","3.46 mi","8.77 mi","19:37:04 h:m:s","58:51 h:m:s","3:42:48 h:m:s","5,144 C","7,792 ft","390 ft","2,490 ft","3.5 mph","17:00 min/mi","117 bpm","129 spm","--"
"May 2019","13","34.01 mi","2.62 mi","4.80 mi","4:03:52 h:m:s","18:46 h:m:s","33:30 h:m:s","2,293 C","925 ft","71 ft","177 ft","8.4 mph","7:10 min/mi","140 bpm","170 spm","--"
