resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,activity_id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,start_time,activity_date,activity_name,activity_description,relative_effort,activity_gear,filename,athlete_weight,bike_weight,elapsed_time.1,distance.1,elevation_loss,elevation_low,elevation_high,max_grade,average_grade,average_positive_grade,average_negative_grade,max_cadence,max_heart_rate,average_heart_rate,max_watts,calories,max_temperature,average_temperature,relative_effort.1,total_work,number_of_runs,uphill_time,downhill_time,other_time,perceived_exertion,"<span_class=""translation_missing""_title=""translation_missing:_en-us.lib.export.portability_exporter.activities.horton_values.type"">type</span>","<span_class=""translation_missing""_title=""translation_missing:_en-us.lib.export.portability_exporter.activities.horton_values.start_time"">start_time</span>",weighted_average_power,power_count,prefer_perceived_exertion,perceived_relative_effort,commute.1,total_weight_lifted,from_upload,grade_adjusted_distance,weather_observation_time,weather_condition,weather_temperature,apparent_temperature,dewpoint,humidity,weather_pressure,wind_speed,wind_gust,wind_bearing,precipitation_intensity,sunrise_time,sunset_time,moon_phase,bike,gear,precipitation_probability,precipitation_type,cloud_cover,weather_visibility,uv_index,weather_ozone,"<span_class=""translation_missing""_title=""translation_missing:_en-us.lib.export.portability_exporter.activities.horton_values.jump_count"">jump_count</span>","<span_class=""translation_missing""_title=""translation_missing:_en-us.lib.export.portability_exporter.activities.horton_values.total_grit"">total_grit</span>","<span_class=""translation_missing""_title=""translation_missing:_en-us.lib.export.portability_exporter.activities.horton_values.avg_flow"">avg_flow</span>","<span_class=""translation_missing""_title=""translation_missing:_en-us.lib.export.portability_exporter.activities.horton_values.flagged"">flagged</span>"
2.0,Testing the o’le Strava ™️  API,5.01,2277.0,4473,74.0,Run,0.0,5369343429,garmin_push_6853844138,5718136778.0,2021-05-27T22:26:13Z,2021-05-27,(GMT-05:00) America/New_York,-14400.0,"[26.026839, -80.164339]","[26.027325, -80.17092]",,,United States,26.026839,-80.164339,0.0,16.0,1.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5718136778.0,3.539,4.9,89.8,29.0,True,152.1,181.0,False,True,21.4,4.0,0.0,0.0,False,5492162.0,1.0,a5369343429,ujz}CbbhhNEXOHw@EOF?h@DPEx@FRJLJD~@DjBTZDX?RDDHFj@EvBCRN`AMrAJ`@@nAIzAEnB@\DRCXB~@Cp@@t@DxAFb@DhBAtCKNiALwAZcC|@yATMA_@HEREn@Q?JJFh@?VIH[Fs@@oBHcC?{@B[JARDpBA~@FfB@@Cf@?nAJbD@nFEd@YLcB@k@FGFCVF~@D~@DfK@X@AClAFfFBLN?OHATH~MA|EHjCAf@@~@E`@?h@DdGA`@Gh@@|@GJG?gABaFPc@?IEi@Aa@FyA?aAHa@EcA?sCDaBFgA@eBF]C_BD_@Ck@@WEIIE[GmHJg@R[Z_@L?SLq@n@QFGAQQ[e@eHeIiA}@gD_AkBGIBMEISWa@_@c@U_@[{@[}A[gAIq@GIMMIU@[J}@Eq@a@qBc@cAMg@Mo@K_AYuASUe@CWBIAKYY_BNr@OWYIW?UEISCUKa@[{BKaAB_@TMfAGnBU~Du@rCy@bBo@PKH_@?kD@MF[DAXCd@C^@?_@GIVBh@GfANZAh@Mh@EjAGN@p@N|@G`C[pBG^Ex@ClAMRENIpAK\IbBGfCUp@Aj@Bz@Cd@G?Gj@?`@FzA?x@?nAGlBAd@@|@CTEBW?VLDh@AHG@OE_ICkAHgAz@{CdAuCRc@RMRCxBDbEAb@GRB,2.0,,,,18:26:13,2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Monday ~vibing~,3.01,1378.0,2324,37.0,Run,0.0,5352724832,garmin_push_6836863654,5700874685.0,2021-05-24T22:02:58Z,2021-05-24,(GMT-05:00) America/New_York,-14400.0,"[26.026721, -80.164349]","[26.030688, -80.152975]",,,United States,26.026721,-80.164349,0.0,15.0,2.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5700874685.0,3.514,5.2,89.4,29.0,True,160.7,202.0,False,True,11.6,-3.0,0.0,0.0,False,5492162.0,1.0,a5352724832,_jz}CdbhhNCTMJ[EYBMHGHGl@Ox@?NDBV?b@ZxAHdAPh@DLL?DFbDL`@RTGTGBC`@ERAND`@A\Dj@Ar@Gf@InB?`@HXE\Bf@C~BFrAHj@JzECZKXmALmB^qAl@i@NeB?WPCH@j@EZMSLTBl@ANKHUDo@@{DJiACu@@WFKRATFhADhCEb@GPG@{@Ds@Ag@@c@C]DcD@_CD[AEiC?qFKoMEiAIgA?Yn@SWLWBIGMc@SgBI}BAwA?kCBs@Dc@TsAJcAFiAD_@DE?eCDa@OWCi@@mAEUC]FGA{@H_@Kc@KiA?yBAaBBeBA}@BN?CGw@?sBDoEIgI?aEEkC@yDKuGBOLEdFKpAAFEDUBy@CgD?aCBGHAdBGb@?P@DFBJBp@?lF,2.0,,,,18:02:58,2021-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,7 weeks later...first long run back!,5.01,2286.0,4680,73.0,Run,0.0,5331302030,garmin_push_6814523175,5678481761.0,2021-05-20T21:14:45Z,2021-05-20,(GMT-05:00) America/New_York,-14400.0,"[26.02671, -80.164137]","[26.027314, -80.170975]",,,United States,26.02671,-80.164137,0.0,20.0,3.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5678481761.0,3.526,5.3,90.0,29.0,True,156.6,198.0,False,True,18.0,-9.4,0.0,0.0,False,5492162.0,1.0,a5331302030,}iz}Cz`hhNOr@YJcABMLAb@ERDv@NXTVzBRnAPR?TJFf@?dBGn@@b@ADFN@f@Cd@Jt@?x@G`B@b@Cl@D|CCvCB\P|AApADtCELMBwBNcAPkBr@e@Fw@AYHGDCLGv@YDTFFDFT@ZEJKJMBgCLeB@_AAmABMHADCz@FbAHjDGjADlED`B@pDKPmAHeA@KDAB@RC`@JlR?HTFYBEP@nFDbCAjCDfBAvCHbH?vCBdAGj@@~@Cb@EJ?R@lDADIDqAHyA@qCJI?u@Ua@L}@Bo@DoCF}@FgACcAH}@E{A@WD_ACoCAy@FKCCEE_@KwHN]f@k@L[_AfA[DEA{DuE]e@kAqAm@}@e@a@g@[c@M_B]k@IoBEGI]m@W[Wc@]iAOw@_@}AKs@KQOIEQHw@@q@Ei@]cB_@iAS}@YmBQ_AQWYKm@FECGGMq@U{@BAu@FQ?EEOm@i@oDE_@@[BETKnC[`BUtBa@lDcAr@WORTQj@WHIFU@o@HCG_C@UDKHEtAE?WHOtAKr@Jb@Gb@OzB@XDNa@FNh@NZ@|B[vEUlEu@\BrBWn@?`@E~B?r@CRGdABhCEjCK`EAG_@@TDPp@?RC@k@Cq@CmCDkAAkBBo@VsAn@mB|@_CT]JGd@EnAE`B@dCCV?PF,2.0,,,,17:14:45,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Last first day of grad school: Monday ~vibing~ ; ran into Señor Yates for the last quarter,3.01,1348.0,1946,15.0,Run,0.0,5314495272,garmin_push_6797370622,5661079781.0,2021-05-17T21:26:12Z,2021-05-17,(GMT-05:00) America/New_York,-14400.0,"[28.020586, -81.958136]","[28.018293, -81.949208]",,,United States,28.020586,-81.958136,0.0,17.0,1.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5661079781.0,3.596,4.5,89.7,30.0,True,156.6,185.0,False,True,72.0,37.8,0.0,0.0,False,5492162.0,1.0,a5314495272,sw_jDjmfsNTr@ANILUJgFHcALs@Cs@@MGAEAoBHuA?y@B[B?BuHAk@@kCDe@CsDCo@Bo@?q@E[IOUAsA^iBT}C?kAEyADy@AuAMe@?a@Ek@Ac@Gk@MYS}@iCo@aCm@iB]oAMq@Ui@W{@u@oCMy@c@oEqAuJ_@yEc@gCS{AAw@DmBF_AFi@Pm@Pe@Nq@t@eBNc@ACBURi@bAyAjAyAb@a@`Ak@lA{@tF_C~@S~@K|F}@hAIBVJIn@Wf@Cj@?vCH\B`@Jr@ZtA`@TLv@|@b@l@j@fAPb@H^G?d@`AX|@\tAj@xAb@~APd@b@~@tAhD\l@f@l@v@rAr@bBZdATl@p@dALJ@LP`@Nl@Fv@EdAYnBo@rDKj@yBnG,2.0,,,,17:26:12,2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Post wedding walk and chat with some Lakeland OGs,4.0,4662.0,4662,27.8,Walk,,5310114613,garmin_push_6792659013,5656520751.0,2021-05-16T23:12:29Z,2021-05-16,(GMT-05:00) America/New_York,-14400.0,"[28.022887, -81.952816]","[28.020702, -81.958212]",,,United States,28.022887,-81.952816,0.0,11.0,0.0,4.0,0.0,False,False,False,False,everyone,False,g7364176,True,5656520751.0,1.382,2.0,,,False,,,False,False,63.3,41.0,0.0,0.0,False,5492162.0,1.0,a5310114613,_f`jDblesNi@L{ANc@EY@mAAuDBK?KIQEM@i@B}AKaCAQIYB_@CMSsA_ECWUm@GGIk@M_@[s@A[[q@?YU]G[KO}@{DQoAG}@Gm@GMIs@M]E_AKs@MeAIe@MeAKm@MmAAk@GUGkAQiAK]ASUkAIkB?i@@CBsBFe@Rm@@_@HWHi@DEJ]LQ\WHK@[TaAf@s@DQj@g@LQFMJO\Wf@m@LKJCNQn@[RQz@k@`@KNIxAi@TGRMTIJI`@G~@Q`@CdAS~@Kf@Mt@OP?VGhC[\@PCp@?TF`@A~ALdARfA^ZBh@Z`@`@lAhB\z@`@`Bf@vAf@lBP^dA`DdA~Bn@bBxA~BRf@NPXj@x@tBBRT\N`@p@z@Vr@LhA?v@o@pEQz@GTARKh@uA`EWhAi@tAa@^G?]VQFW^aAx@c@b@WRc@TMNi@b@s@h@q@r@SJs@p@c@PQDs@b@e@Tc@N_@RK@o@d@q@V_@TBZ?pBBf@CNBbCChADtCET@LCTC~@@TDTCn@HfA?b@Gj@?XFb@?PEZ@x@Ah@B^HDRBbBBt@QJIVCn@?h@Dn@IVBVATE?a@AEEAG@PDALBTCLa@HQEf@GHGAe@WMGB,2.0,,,,19:12:29,2021-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Pre wedding steps with the out of state fam,3.07,1883.0,1883,22.0,Run,0.0,5295265943,garmin_push_6777673793,5640998742.0,2021-05-14T12:36:15Z,2021-05-14,(GMT-05:00) America/New_York,-14400.0,"[28.790426, -81.358252]","[28.79397, -81.370957]",,,United States,28.790426,-81.358252,0.0,17.0,3.0,4.0,0.0,False,False,False,False,everyone,False,g7364176,False,5640998742.0,2.622,3.9,84.7,23.0,True,149.8,178.0,False,True,45.0,13.2,0.0,0.0,False,5492162.0,1.0,a5295265943,ccvnDbhqoNiAKgDA{ACuAFYCyB?YDgB?WGaAG]I]Ei@PMZA\^p@Nj@Vf@Tp@p@jCJ~@Nh@Bd@FXC^HjAA`@@xBEl@?r@JfJ?pCBd@E\An@Ib@D^@x@AVCF@ZBLEXA\D`@A\FjAIRAhBDf@CVLvC?tBC\BrAA`@DrDETAnBBTEhADnAEzBBn@A\JlCPpBBdADXFlAPrBA|@BVBrBF`@NlCGn@@j@Hj@?xABv@FZFzAATJl@@z@Fd@?r@J|@@jABd@Hf@`@zA`@l@R`@p@fBNX`@dAXx@l@jDB^Ch@@z@@OIq@?cAQk@E_@KYCo@II_@cBa@w@o@eBSUc@y@Om@SqA?wAEk@Kc@Is@@c@KsB?{@KsA@WEc@?YC[GQKcB?a@SiCDmAEg@GSAgCCMCg@EuBEa@?g@Q_CA_ACk@?{AC]AeBDiDCm@@a@KoC@oB,2.0,,,,08:36:15,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Tuesday ~vibing~,3.01,1462.0,1649,20.0,Run,0.0,5278239684,garmin_push_6760288014,5623182107.0,2021-05-11T12:12:18Z,2021-05-11,(GMT-05:00) America/New_York,-14400.0,"[28.020672, -81.958196]","[28.01819, -81.949086]",,,United States,28.020672,-81.958196,0.0,20.0,0.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5623182107.0,3.316,4.4,88.6,28.0,True,156.9,193.0,False,True,73.2,39.8,0.0,0.0,False,5492162.0,1.0,a5278239684,ex_jDvmfsNh@RBHCTQTKBoABkB?qALmBBK?[IAGEaCBc@FiBH[G}@?iDGcCDiEAmAEc@H_B?[Cc@Ma@OBeA\g@HoA@q@CcHEyDU_A?_@Gc@C_@]Uk@{@{Cc@oAy@wCS}@KOQo@Se@_@}A]cBQcBQ}@G{@WuBQaA_@sCOuASiDu@oEGw@HoDDg@ZaBN_@Ba@^{@b@o@FSFJEG@MLa@rAqBlAsAn@m@vBsAn@[bDsAfA_@fAK~Bc@|B[t@Qb@EdBYpBF`@Ar@JvBd@lBn@LHZXj@t@j@bAFT`@r@FP?JpAnEn@`Bn@pBlA~Ct@`BtAnBd@|@P`@z@hCpAbCX`@F\Jt@?b@Gp@aAnG{@lDq@lBQ\,2.0,,,,08:12:18,2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Emily’s first Mayfair!!,3.14,1473.0,1473,56.0,Run,1.0,5264683889,garmin_push_6746042847,5608957610.0,2021-05-08T23:00:16Z,2021-05-08,(GMT-05:00) America/New_York,-14400.0,"[28.044197, -81.948901]","[28.04267, -81.950835]",,,United States,28.044197,-81.948901,4.0,18.0,1.0,23.0,0.0,False,False,False,False,everyone,False,g7364176,False,5608957610.0,3.432,5.3,88.5,29.0,True,171.6,189.0,False,True,85.0,59.4,0.0,0.0,False,5492162.0,1.0,a5264683889,ekdjDtsdsNb@@bKFR@b@FDBJZHz@Cb@RrFAxFIdC@b@DNnCHtCILKFa@HcEPe@Va@~@iArDcDh@[^Oj@CP@`@LhAp@vAtAf@t@Xf@z@lB^jBVvBJPB@^@ZEtAEdCBb@AdAHdA@pGErC@l@CrA@nAEr@@bBErAJtA?TNJ~@FhBCrABh@Ax@BbA?j@IHI@y@D_A@QCIUImGC_@@aCB]?g@AESEe@HeA?{@BcAOeBFmCC_@@_BEs@FiA?}AD[CiDH}@?e@Es@Au@BORc@rEW~@SfAOd@c@j@o@\q@VeDl@o@Dc@A{@O[Ka@Y_@[U]u@y@Qa@Qu@y@}BMc@Is@Ic@EIKEIAmDLcDMo@AkABI?OIWCMKAEBQPWF_@A[l@qAXcABS?]K[}@yA,2.0,,,,19:00:16,2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,I’ll take some overcast and cooler temps ,2.01,901.0,1330,18.0,Run,0.0,5253851139,garmin_push_6734897653,5597578925.0,2021-05-06T22:08:53Z,2021-05-06,(GMT-05:00) America/New_York,-14400.0,"[26.026587, -80.164122]","[26.030205, -80.174445]",,,United States,26.026587,-80.164122,0.0,14.0,3.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5597578925.0,3.583,5.6,89.4,30.0,True,150.3,183.0,False,True,14.0,4.4,0.0,0.0,False,5492162.0,1.0,a5253851139,ciz}Cx`hhNMZIPGDQDcADMBCDG~@?n@DTz@b@t@FtCb@DDBJFj@BzBNb@@l@Qx@FlCE|BEZ?bABJCZC~B@lCNp@C`BBl@@bBGI@@OPwAR{A\{Af@m@N{@@_@JKDCJAf@?x@Gf@YL]D{BFaAAyA@gAFCBIZAd@DpCAtAN@ClGDxGKZ]HqBFKBKPLbRB`Af@?QAKIEa@K}JEmB@i@CqAHc@BCZOb@GxAENIBICu@Gs@GiAE{HGW?iD,2.0,,,,18:08:53,2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Pre last final of SEMESTER 5 run! #buzzbuzz 🐝🎓🧐❤️💯🙏🐝,3.01,1322.0,2447,34.0,Run,0.0,5237676809,garmin_push_6718253538,5580780873.0,2021-05-03T20:53:52Z,2021-05-03,(GMT-05:00) America/New_York,-14400.0,"[26.02665, -80.163352]","[26.02655, -80.17264]",,,United States,26.02665,-80.163352,0.0,19.0,4.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5580780873.0,3.662,8.7,89.5,32.0,True,147.9,189.0,False,True,13.8,-0.8,0.0,0.0,False,5492162.0,1.0,a5237676809,qiz}C~{ghNAnAIZQNg@J]PEFUtAGhA@LFD\FdBLJDfAN\?Ac@Du@?eGBg@EiC@{BCgBXKdAO`ABpBCz@GrDJb@GjBMH@MH@@d@BXFL@JCFK?wAAe@AaCAy@?ELKh@AbAEpAFh@CvA@b@D@GHKrAAdA@tA?h@Ej@?NC@CL@DDFNDh@LxNFlCIAETNf@NR@HONCJEzA@lADbAC~@Br@C~@Bv@CTBdAAtAIRARRJ@D?^E`CDTBtCH~AeAOkBFCB@BGDFNg@EwCCk@BoAAoEFc@C]IKo@DkBCOJy@Gj@E`AC@}BHgB?J?M@KDGF?DLh@@JFPFHJHVHp@F|@Ib@D^@D?FF@LG`@Bl@HLADD\FhA@fA?bDCRGHMBc@@}D?yIHkB?MCCGk@Fy@N_@Jg@Ty@T_A`@MZGv@An@EJHJBLFt@@`BDPHFrAC^EFIO{H,2.0,,,,16:53:52,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Foot takes on 3 with no cause for alarm 🦶🙏🙏🙏🦶,3.01,1357.0,2726,53.0,Run,0.0,5209942124,garmin_push_6690084058,5551368428.0,2021-04-28T21:03:18Z,2021-04-28,(GMT-05:00) America/New_York,-14400.0,"[26.026699, -80.164468]","[26.030578, -80.156653]",,,United States,26.026699,-80.164468,0.0,18.0,6.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5551368428.0,3.565,6.8,89.4,30.0,True,157.2,201.0,False,True,29.8,-3.0,0.0,0.0,False,5492162.0,1.0,a5209942124,yiz}C|bhhN[?a@GYAMBK\CNIdAHXHNJHxBPfAR`@?DFJf@@`@@`BSN\lABRMf@Dh@@~AIxB?|AD`@E\D`@AvABdCD\Dz@Fl@@VAbCIHw@DqB`@wAl@mA^u@F_@ASDIx@IZDJDf@ATADIDYD]A_@FsGBUNEl@ElBD`CCLC@cF?oBBk@AMCJg@OXENMBkABq@AGSE_D@wAAqDGgEHwA?qBEkAIiAV@c@OKGIa@MaCGaF@wABaB\_CRoCA@EqBBo@I_@@y@DUIY]w@?GHW?i@HQF[Ic@AsAD{AC[?sFBL?CGwA@]AoD@C?kACgD?oDC_BBm@Fc@Ia@CkEf@t@Se@W]CS@mEEeC@KBCn@IfB?DA`@@fDC@JEGFCnCAD@FF@L?|BAxA@`A@xDLtC,2.0,,,,17:03:18,2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Walk and talk ,2.19,2884.0,3459,48.0,Walk,,5204392652,garmin_push_6684349877,5545616860.0,2021-04-27T21:23:09Z,2021-04-27,(GMT-05:00) America/New_York,-14400.0,"[26.028834, -80.17179]","[26.028681, -80.171825]",,,United States,26.028834,-80.17179,0.0,17.0,0.0,1.0,0.0,False,False,False,False,everyone,False,g7364176,False,5545616860.0,1.223,3.0,53.3,30.0,True,105.0,127.0,False,True,21.8,4.4,0.0,0.0,False,5492162.0,1.0,a5204392652,ewz}CtpihNGCSA]B[AIBi@?UGS?GFW`AUf@Ib@IRK^AVBf@CNDnACJ@hBMf@?TETD^?`@BXMTMD]AMKEK?YG[@_AIUAMBa@AG?WGa@D{@CYUWI?MDg@BCACI?QFTjACVPHNBrACRBPCX@d@DPGf@B`@?NHx@ZBVGDI?KFM@WCg@@QLORGV?v@KdAEZ@LCd@@f@Dh@CT@@CCIDHH@bAGf@@^C\Bn@EJ@JD^CXDDBFG^EDCBCBQGgAAaBGo@H]C]?GDBGk@?_@@ETSn@Mz@IL?BDl@GPJV?LAAD@B?CZE~@?~@CdB?p@EpABp@ANC\Bb@CnB?Dg@Ai@@YAg@@VFu@FKBANAl@@cAGGEAGKeA?i@EO@g@AWBO?MAl@FPCt@Fp@Cf@EBMBSJk@Es@BQRGN?LDHGZWJQ@i@?IBQCw@Fc@EwBNc@C_@BeACqADGBETALDTWDCH_AF}AZS@}@\KHOFCAOi@?q@ESMQUCEBU@y@CQDICu@?WDo@?,2.0,,,,17:23:09,2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
